"question","question_k","select_option","select_option_k","if_question","if_question_k","if_option","if_option_k","description","description_k"
"How trainable do you want your dog to be?","당신의 개가 얼마나 훈련되기를 원하십니까?","[""Highly trainable"", ""Easily trainable"", ""Trainable"", ""Less-easily trained"", ""May be stubborn"", ""No preference""]","[""고도로 훈련시킬 수 있다"", ""쉽게 훈련시킬 수 있다"", ""훈련을 시킬 수는 있다"", ""훈련을 시키기 어려울 수 있다"", ""고집이 쎄서 훈련이 어려울 수 있다"", ""상관 없다""]","","","", "","Some dog breeds just want to make their owner proud, while others prefer to do what they want, when they want, wherever they want!","어떤 개 품종은 주인을 자랑스럽게 해주고 싶어하며, 다른 품종은 자신이 원하는 대로, 원하는 시간에, 원하는 장소에서 행동하기를 선호합니다!"
"How energetic would you like your dog to be?","당신은 개가 얼마나 활동적이기를 원하십니까?","[""Very High Energy (60-120 minutes daily exercise)"", ""Energetic (60-90 minutes daily exercise)"", ""Moderate energy (30-60 mins daily exercise)"", ""Low energy (30-45 mins daily exercise)"", ""Calm (20-30 mins daily exercise)"", ""No preference""]","[""매우 활발함 (하루 60~120분 운동)"", ""활발함 (하루 60~90분 운동)"", ""적당한 에너지 (하루 30~60분 운동)"", ""활동량이 적음 (하루 30~45분 운동)"", ""차분함 (하루 20~30분 운동)"", ""상관 없다""]","","","", "","High-energy dog breeds are ready to go and eager for their next adventure. They'll spend their time running, jumping, and playing throughout the day. Low-energy breeds are usually happy to simply hang out with you and snooze.","고에너지 개 품종은 항상 활동적이며 다음 모험을 갈망합니다. 이들은 하루 종일 달리고, 뛰고, 놀며 시간을 보냅니다. 반면, 저에너지 품종은 당신과 함께 느긋하게 지내고 휴식을 취하는 것을 좋아합니다."
"How much coat shedding can you deal with?","얼마나 많은 털 빠짐을 감당할 수 있습니까?","[""High shedding doesn’t bother me"", ""Average shedding is fine"", ""I prefer only on occasion"", ""I want a dog that doesn’t shed"", ""No preference""]","[""털이 많이 빠져도 괜찮음"", ""적당히 털 빠지는 것은 괜찮음"", ""가끔씩만 털 빠지는 것을 원함"", ""털이 거의 빠지지 않기를 원함"", ""상관 없다""]","","","", "","High-shedding dog breeds will need to be brushed regularly, may trigger certain types of allergies, and will definitely result in a regular schedule of vacuuming or sweeping your floor to manage the floof.","털이 많이 빠지는 개 품종은 정기적인 빗질이 필요하며, 특정 알레르기를 유발할 수 있고, 바닥 청소를 자주 해야 할 수도 있습니다."
"How frequently can you care for your dog’s grooming needs?","개 미용 관리를 얼마나 자주 해줄 수 있습니까?","[""Monthly"", ""Twice a month"", ""Every week"", ""Two to three times a week"", ""Every day"", ""No preference""]","[""매월"", ""월 2회"", ""매주"", ""주 2~3회"", ""매일"", ""상관 없다""]","","","", "","Consider how much time, patience, and budget you have for professional grooming when you make this selection. All breeds require regular nail trimming, and if you’re really motivated, you can learn some grooming techniques to do safely at home.","전문적인 미용 관리에 투자할 시간, 인내심, 예산을 고려하세요. 모든 품종은 정기적으로 발톱을 다듬어야 하며, 직접 안전하게 미용 기술을 배울 수도 있습니다."
"How much barking or other vocalizations are you okay with?","얼마나 많은 짖음이나 다른 소리에 괜찮으십니까?","[""Very vocal"", ""Frequent barking"", ""Some barking"", ""Infrequent barking"", ""Quiet most of the time"", ""No preference""]","[""매우 시끄러움"", ""자주 짖음"", ""가끔 짖음"", ""드물게 짖음"", ""대부분 조용함"", ""상관 없다""]","","","", "","While some breeds will bark at every passer-by or bird in the window, others will only bark in particular situations. Some “barkless” breeds can still be vocal, using other sounds to express themselves.","어떤 품종은 지나가는 사람이나 창밖의 새를 볼 때마다 짖지만, 다른 품종은 특정 상황에서만 짖습니다. '짖지 않는' 품종도 다른 방식으로 의사 표현을 할 수 있습니다."
"What size dog do you want?","원하는 개의 크기는 무엇입니까?","[""X-Large"", ""Large"", ""Medium"", ""Small"", ""X-Small"", ""No preference""]","[""초대형"", ""대형"", ""중형"", ""소형"", ""초소형"", ""상관 없다""]","","","", "","From extra small to extra large (and all sizes in between), there’s an ideal fit for every dog-loving household. Big size doesn’t always equal big energy, so some large breeds can live just about anywhere.","초소형부터 초대형까지, 모든 크기의 개가 각 집에 맞는 이상적인 선택입니다. 큰 크기가 반드시 큰 에너지를 의미하지 않으므로, 일부 대형 품종은 다양한 환경에서 생활할 수 있습니다."
"As an adult, have you ever owned a dog?","성인이 되어 개를 키워본 적이 있습니까?","[""Yes"", ""No""]","[""예"", ""아니오""]","","","", "","These last questions are required because they will help us learn more about you, and how your daily routine will be a good match for your future best friend.",""
"Do any children live in your home?","집에 자녀가 있습니까?","[""Yes"", ""No""]","[""예"", ""아니오""]","If yes, how old?","자녀의 나이는 어떻게 됩니까?","[""Under age 10"", ""10 or older""]","[""10세 미만"", ""10세 이상""]","",""
"Do you have any other animals at home?","집에서 키우는 다른 동물이 있습니까?","[""Yes"", ""No""]","[""예"", ""아니오""]","If yes, what kind?","어떤 종류를 키우고 있습니까?","[""Dog"", ""Cat"", ""Bird"", ""Livestock"", ""Small mammals (hamsters, guinea pigs, etc.)""]","[""개"", ""고양이"", ""새"", ""가축"", ""소형 포유류 (햄스터, 기니피그 등)""]","",""
"What is your home like?","당신의 주거 형태는 무엇입니까?","[""Apartment"", ""House with a small yard"", ""House with a big yard""]","[""아파트"", ""작은 마당이 있다"", ""큰 마당이 있다""]","","","", "",""
"How much time will you spend with a dog each day? This can just be an estimate.","하루에 개와 함께 보내는 시간은 얼마나 됩니까? (대략 추정)","[""1-5 hours"", ""6-10 hours"", ""More than 10 hours""]","[""1-5시간"", ""6-10시간"", ""10시간 이상""]","","","", "",""
"What's your activity level?","당신의 활동 수준은 어떻습니까?","[""Adventure lover"", ""Walks around the neighborhood"", ""Hang out on the couch""]","[""모험을 좋아함"", ""동네 산책"", ""소파에 앉아 있음""]","","","", "",""
"Do you want a low-allergen dog?","혹시 개 털 등에 알레르기가 있습니까?","[""Yes"", ""No"", ""No preference""]","[""예"", ""아니오"", ""상관 없다""]","","","", "",""
